puuid,rank
2x3OdPAX-EHYYmb05f4657eneTUyfYyMhcMfm3IR57ZoqJz0_ZCFsZ4FKmlRpBO4SdFnTIPc-j5NZA,GOLD IV
nh6dCRoOhUAUxlMkGo_cTrsSe_ajBUsaZBu7yClSXFjaZLXlYsGyL52V2yrvTyDxOZ1Qpro8UDoqfQ,GOLD III
RZgA66WncXpG192PJYPamBYWfa1lJpEy_vam-PhgDDSJjsCr3m-zx1qBF71W3-Rooo_B208AddE7fQ,GOLD IV
pn2mXfJ-8Ca4kN6_OOgAY5n4NLmKTRMSueTBiiuu9Sc4chYxBjzEE9aJjkIRYeCvYt_FGzpf_EXUiw,GOLD IV
pUICd_mu65uJ5x_tEuTONqkBjGwKeDzPoCkro00oBfP4iMc1EHRqpadJ5xTaepX0sMH3LXZ1soRsgg,GOLD III
uwGllYdHJHnqFbmfnBLKKq3v7HiC690MZwLQt4rJmjfgDaD_hMbMNOIBXB73mxfqQ2Bddlt6wfWByQ,SILVER III
8t-6jRlGYPkGKY20U27h-LcY2VjeNGHg8vnH6izIajj6MeOgttIfm_IQbzsZkrUlUx5VbzTWv15zSQ,SILVER III
W23VrKDYFX1yzJNUS2tGpnE16CLAks9TReKpnER1_pp8B3lSuHd8VYeYxDc5gAhYtoHMuJ4moP_zUQ,SILVER IV
brnKcURkGj39D_JCiM2uDqgBVBw0tjn7nefKnNc-W5r5yQpYaQaBRzmS94sVbj8gYV45Z-AolqbWGA,GOLD IV
dzoRfRsjhgCBfbHSlT0XQv9U-rBCIou-arXjUmyBBy_ZtMb0Uk6q4VaDR-sQ-d52gSHHbAnsjQfufg,SILVER II
S17-rrWDdxOoottt8CYEz6cB3nIfbldRih0F3PZir7uuxYus46LhdnS-B2GGy2pFnOdGOBucSZSIiA,SILVER III
NWfKCAXOE7-m9Ymvt2M7ftR_m_QrliaAuDnm2I-iG8jw7efGfjoZj5mngwVdL5CRh0CylPfY8ZSssw,SILVER II
KTbP4ZzvNNL5uJ6bnZkZuVBygUvXu-lz1cQOFoQoYYeweX56uO9kjq1pMtqTPHr7Y9PyWsO9aX5Gdw,GOLD IV
Oln07_WK3712HZYWep1Fj2JUKKbTvg7qku9Z2mUDuIf6O6ydKbEwPywYhC4j4cF9z4_O3W2w9cUT5A,GOLD II
HPRl463fnpvOMuXoqdgzS9bloV_A6Z5oxsYRBllFg25FOAE_ok7fEW0NboJxhvtKedaJZK_XwND-cA,GOLD IV
esEJnB3P0jHY8LTucqsa4Fsh-SaEWoHv6oXkeit4jxRdM7Q51-ipreT5V2YtXotwBwahKhuP08fChQ,GOLD IV
WvIe6QrYBu62ke7EebgBS-sZscrg26D5Y0SJqMQ0q9kI_8YlTTnHTjDuJEePnk2p0NC417MuapYsBw,GOLD IV
R620119K_aXQ4YGUzS9EgHb3HX7pNyyhWSeIB_JV9bfYqypM2RgWHE6w2Y1O8BHhfu821T3Ppm88vA,GOLD IV
DiJfa1Q-b15cio7CB1COOYwXwoiuxQFa5tnL3jjIFIm40tFY1GelBRgI75UGE6dO6raScsFb_5b7DQ,GOLD III
KgW8rIVyKJTfshTN0M2Qlm9x4CxaLScxcVlsuHfeOHGTGZSt77O_4Is4s4qB5xPvstlHJXXJvkS6dw,GOLD IV
dMsdIlQILI2bp4HGJCCwN457Sx0HiRNY3JsicAxcXdRwP35ElYB_WUjNC4OmPhSR2Q4zxfyLVZJfLQ,GOLD IV
bYevDvlUEBWGiiY422eKlHlsLblvPYY30wnfUcVEnLKHemT8742ZOyyW_4lEQ5gQ3A64m0YAdf5Xig,GOLD III
kMruBwTK6U4Trd54k3X9_MyeMDYH4LevCc9WHCEEcib2pymPTyIXImVODgG1DFU9NL9do94fUZDbSQ,SILVER I
R6hq16b9nVzsTzSwJRedeKrqwBnsG9PZMijAVo0FPVxQ_kBkxZXSv6hvYRRPGi79VPmKGgnG4CQQ9A,GOLD IV
TaImhE9tuBR-tjxeESmeUJ51PxJG_fmtt4au2AUUWonIOeVmknhfeSY7lGzIfQw45V5OCpU-0NIVng,GOLD IV
PV9sxjSzuFgh3mNegUNKbg4ZOqUVNfBZeyUeY9VnmYKBWupyHb1kTJkz2lGrSUs4rjNqIJysMZbZMw,GOLD IV
gP2R7c4saRLZSlc9DaxVQi0YUSJ31K-WyVdwCEyLU4Q8ZDwg7y_oAf2us0VAMAeQZVPyQ4rLDvJzqg,GOLD IV
Qt7fHHen9YgDVEw2TENiqcaT2Xw08QIFfCifxGZgtvCEGCuYfD9ylH_Y1huaWpmuCTVCckzq4SZXsA,GOLD IV
I4MhsATE6kUmQBM1TRvP2a91ESUzrF8Ss4n12NrDXNtQPZE6cXDfblqOD5WMlNAI4Anzbb0OonyJ9w,SILVER I
kLTByDmydy_ELythbVIxX05b4-GW18TGlJ266Th_Rv8D5Bv_taaPjhExe2rI1KgBX_4s7CLn0skEmw,GOLD III
Otp2NXNSMhXitiCcJvOl-4t95nre_nVCDycp7anHOJX3HA-csPqB8TGmH5bgvep8cA9h75LwP9zymA,GOLD III
12qqR8w2FFiI7ni33L6cUgTCq9a_mqQ7-wxtKcmL8IBlf6eAeCIzUk0QfbdfUyEHDR6r-YPnRo_20g,SILVER I
vNwu8r9b1sC7k74PUphg3wCM6GwPH-tAJfV0qxVD_899x7Eo5MXhAJ30zO5C_heNwaGd3iQSb5YCBw,GOLD III
LSa4d1VBsYcYjSY2AzKE1l8r9nwQzcAMCPdmrRNxPyIhtBbAlVFOk8QWXKzKlVzYJhu0000CfxXUlQ,GOLD IV
645vnuev1z6TA2uC0THZHPpUkysb-Hc8QvZSsQ7fhPjwKdLATBh39vSrSITbk-8AcpQDDm0RczKmNw,GOLD III
nZidtODwLLlolVx1pKpls-GZ4XcF8DfMewKFgrwpzQAu0-xlDPb0F7wqyGPe_4q4NSlDP0jviiXwYw,SILVER II
RKrpBQlyxca0jXrIBGM7S1P0g-991ORHWr6Bmo2d9wvQy9BPTQ0MJCQiOAZg1u5iKAUGjbtsBOtPYQ,GOLD IV
X6LwDSGW9AfYRZg8Gzr0kX2CtTe8tnDIqnZ0pi9P9kRSZdQbHnt2zKYOY5pITGIiCQIchlLUIss9Zw,SILVER II
wWb5JhLaJm_1D0DS8SVLuwVETKvY8Wp0Zax78QKpYUQqDVrb3_wym1J7MOKnI6rxS0qJzhyffUonfg,GOLD I
_3B1EtAG0CMJffPeMsvdwZMJLQ9rGL52eomLVf9zqu75WRSR5UquW27vLyEzI4Mz5IJyeWQpsV1uTw,UNRANKED
dizgKl64J387Ai88xtyNDf-RLEAfzddblfPR_joM2g5uo-5WUZEHUYpIA1NfTA2gfKj_TpYgnJjorA,UNRANKED
lyDLZPhwZB-EY6jFeeX-hhAri2DF0TFM0ljDYaqUDD5QsFa-RGYUxYgYed9os1WwUK3Moea9xidJ8Q,GOLD IV
5UdOjWmmeoAWWPYuyFt6_LJclCcuP1EEQhNUnbE_DZ1QGnwDMwqr94N6sXeuaxauAkCPVcp4efhCJg,GOLD II
Y4gogocv-GLXEBLtIuhsZJMHkdZxGC6tjRFE5hz2FeDth7cRbgfHtcWlXX8k5g19DkxOGs56Cb3a_Q,GOLD IV
ko6hqoLxGL-Z3ew6psvydMBFjTzFpHzZ_j3blThYEJkTqQDu1av4QOSbdq7yNOzkFpWDW_tCgA-hxQ,GOLD III
WRSJvGG7tv_7QaHnfpFC4KRtzv2Hi7BzQ57kR6weFEHMysJeve7Ve6Y_60dvfuA0paRcHy8lm68n6g,GOLD III
tuQW58xfte5yJcvnAb4OkAQDfeXZlr8vIcUR-CCGp1DpZo5_YXSCGJczdJwTAlpxVGBskodN90D6ZQ,GOLD II
zmREkM_xKh9zuOFplKeEAcqc90Q31IeCqrXI-QdKffrzSoPmsqEn6EjWIKQhAXoS2otwIN5A4BNzsg,GOLD III
dotqwbe4cOZey6u30da1b_E3dmsezj00PTdHx2wVclBBm8M9jspM8ZcOS-ytEMpy6WzK8uAxpWnfSA,GOLD II
ckFcO-stnATCeBALBp8BClQDa4JRUhC0hQSAB6XOgrmYUCON2TH9L104OP7_ZrYs3BUP1RWcBUMnoA,GOLD II
PTIR_3MaCJj7ZLiCsMtRQ_3SAB4bo0KdydeEW2i0fU0LEyP2ENuN5vsreYixWxQSKuhsDb8DBTkzqQ,GOLD III
Yd5ESXjTiXobrXFURg2OoJ3nqMSwUi4aO7_ZbgiOTAjivmvFKUyE5RauRzLU7jU15qFReLDoCuPEaA,GOLD III
3be20fIIiq8skfbF6-5pCS9Td-nPe2nebXOGIsiOqgsIk7kgnO3gpntKCzLqq9ii_tRFr1mPJrrD0Q,GOLD III
Y0MESGsJBHL--bxmJc6EblJierIq6hGsCm3EHGrpmqgFPrYUyNyvAnwjt3gnKkBactbZrBYJiv9HAw,GOLD IV
LpHrr2W4VQidEeCypPg8tWFqtlusRMnQRHz4HzivYfWX_PjbjOQGxg-qgYqxFQcJS9hgxd6c0SJSGA,GOLD IV
yQ287NsZ6v6jBjun4sP8I12EYSx5E7cFOyttWtWje7J6XyqK84-zKKTT_ZnXifyguvUpErEsTPO3RA,GOLD I
H_BnOkpr6RqSQtpICF5dbdvDe9BehOwAUdAzELl6pruP_IfKdRFlpRnwH3Ib5EyZZkEN1lJGri5bNQ,PLATINUM IV
jLeJ85BUTuQlgl_ytIC7D9fveDd__-VmgnAFevvbujEmpLcVTuAloF7UNeQffIP4Uqf3dxphQUW_yQ,GOLD III
Fy6GMxIogXphwd5nglAdda9B77bPzCsrJ__04K2kt-07oWP9VRNSZPJhX7faUjnx-ILZ3gGs_WN3Ew,SILVER III
1fyRIxHZULcUPrhPoAN41V2Ede_33ka6RQ1QCETVGB9bpH5xcvL4PjH_rw9W1JM89FAH1dtu2Eyq4g,PLATINUM IV
EDh_543ke_zlTo6Zh-haB4MrAvPiMTFIFuv2pYZYS2MIn_fnjNep2mlakYdIwibivX8A8mC_q5KC0Q,GOLD IV
FoxUl-Pllf98O1hdOf4yjBDPHIqIyUbQu1oNLe2iFpSSedS6MfdTkqLgasAQaPVDOYIO40hpeOehkQ,GOLD IV
DpCwSkv8o91Vu-IFjGJm82TTn3j3GEyMutl8yjfsMnSlCGxxi1NarUo7kUJ3s7HbUZfYUu_0P_toKA,GOLD IV
D3Q5Jdqe6_VRVXayZl411HVw3PujOl2to3Y7g8bVJl7TmijJtqN9JgveM34CfnBTX_Ql8BLWz0HGAQ,SILVER II
FybkVyjkmQRcQm0ol0b9d6C_k2LYr4O-Eylu-9J_9jw59CQ3Fb3bsbRJOmae43ojrjxup6-3tLQ-Nw,SILVER I
p_VRSqSGw-jXbjBNuqS3cXfqESBJEv7QfzdZ1jKiTAHPRrXJQU6m6qIsZSBDufAy72vinLD8cOVI-Q,GOLD III
gw4dKD7LyOHMa7_zSu1KdiABTk25UpQ8KnJw20-aS9NampCgVPG-SNxufUkxyHb-vg4BRUH5ZHKvdQ,SILVER II
WJZk3iDqBC5BCtmmNXBmA1RtrijGBrL-tCPKGAzsK-a4TmB262Zy3-xmY26nNR0TGRpfLEes685UeQ,GOLD II
bZszcn_IH3HQvPAmhyoqFThWuayBNP1x4k5M4z6qjpL7lOL3sCJp30b-ka9MmWZIaFVAOJZ70DrTbA,GOLD III
m7HLjjeMA6lfITvekjhe5YSOEOYR9qJPuaN5DpuYptYKUGAIUJ4WWbAN9j8dHTsm2m001nP_rBB8sA,GOLD III
wuNj-81tsij9rfhcVipOZjAqmNSaVl5dA9MEigLs8mRUuJ1wHpDico4XmqfJWvhffLqkFT8Ybi2BWg,GOLD IV
x3HFiJmQJ-2EIAFpN-SOiUI35sRWgwx5aE74xW0_NrR5ed5lCEzWDC6m2Mborwio4u81M-jgsApqPg,GOLD III
idDQiQMBIgm2DWSkBy5bVZvht6ZEehyqGdFhxfQ4MT55RqF7lybnWeDq3bjmLhCkiC79FebBl0BoCw,GOLD IV
aJ1NrMYGQFmVoIN2R1OM97OU_z0rNLp6yK-PYFiosFw_dluEQ0oG5YnygITjgMKXMu7C9eRuVqUGvA,GOLD III
FtdcJWTTeppl3BMiguueVbRKXHJQhgrxwFwBo3x2s5Cil_G7r0LahpPMyJSqT3Xl2mUOTWtEXuhv3Q,GOLD II
o4WNNuV1yPaTYYx2owh3d71jrbL-naaMBKapQf12qFOeqcs08WlQOXM7wSpLg4JhOBIP-tQzW7LZtA,GOLD III
aVHwhuJclfC5v2MN1uso98zfPTQZSYZnPdzUHLR9tbPds7knx6jU5NXxjlzKNf8IBV_6BDsN8uGQhw,GOLD III
2PRhYt-61Y9-1EN0w371L5RRRinxuMbPRi0e8ShOdnQn0sJStKZ6YnsP5ke_O9VZXDgac7iXF7Bn3g,SILVER I
nPD3N1Xf0kuMx1ktgeXM45utdS-haihBIjv4jFOYbdX46QIFx3zquylb_5oinHNAtFdnl2OJqXcIGQ,GOLD IV
bq4mdq7v6pSToBJFNn2YQ2VCZ_baHMz2YiES9qDBt3UfZX8SVOQBwxnf-9_EA4YlQ8Iz2SjxE7Criw,SILVER II
3arRss3rHEKG5lYlS5lBJlN8H1XtyVf3wQVygEa3FigddZsEZWJHrfH3LwXHoyh3r1Sgw1rmctpxVA,GOLD IV
iBTFTGnS2wGt7sZnt4JwRpTUmiwUxTiHbYlXjtiRsSuhAnMWp_faU15VypdSQtxycoTatZUIQaowlg,GOLD IV
HQFsOAKswtjd3k2FPAERZX1-O4SPsXDUAzWXBogPvDZMf0K4ithLKlBAHswaLDs2dyY0a7FtmKnh_Q,GOLD IV
CI7UCrDXNveNBOqktJbcs54QRMoA6boeHFJgLjjKAh1NmJAXMV5nkjm_5-y5kbEGAO-wVanqDTerQg,GOLD IV
O-aCoshWn2gjWNo4qdbR4lFaM-DMTvnTZ4iYoYh65eekQ5BXtzCafTTzW30u6cO-aZf5PTYDuebgFA,GOLD IV
MWjcqjy1jgW0W-pL0SbUKm1ciEElCeXzyXoHLBK2DcfJnpUEe85FOizEwRvBKLIMamiz7W9hKSbRDQ,BRONZE III
STRDVDOUitScpWucV2sQKH1fFt9P6wH_8Qaj6Mz42EVsfvjQGSRZDO2PV_JHY8SfC84ncL-IK4R9Og,SILVER II
E4F1atVRwGb-YVD1m4M-Xe1urKkFITnDKAhRuL7zpHNGXRhZARVZFXu3NOMXR67lrE8IHIGMWgSrQg,SILVER I
51CVWCRqSK4__sYVEmJxz7Zecyq0EtdJBdmcgRUpsbdDrtDKwqRKqcmsFXCO_UIMmTyj_pCWCM1oqw,SILVER I
eq81B2Mjh2udh9JPzSKfXs8HTbF6wEt4EbkdIfMZ_kIK-x9O9VNOM7Mige4O-s3cyGIoOk-gko21vQ,GOLD IV
D529HqNqvB-mVVpIGjJtgwF0DExmgtzhoXO6Wbttrq3wh-WYXSIOmHTyf2u0PM9hjUXH-bBJ_baSeA,SILVER I
ja9VZkVR2QRx_-KTgzU9OwtuM63koFhjZHkPwJA5rcxn_eWzn7kYdJUZcZX40Fqasm8udKgvbDx_bA,BRONZE II
v2P2mwhGi5TIXT4SMjpBXrMYY5-j6Mtt6Lf4UZoZaUX6N9lgZbaKaRQoFIL7qAoUN9hTB_zVtiXkkA,SILVER II
EuM8gCUUT_-9dHps7mLN1H2FY6CrcLPlwK1AkKUIIA-BuM-6igC5R9dWi1aHYkVyWJCDJyLjhlGTaw,GOLD III
ysu2lFA5bZraQZhv35hfg_vaVg3qGsOZglFCDGcyUjkKXh1U5g_o1tXzwkc0DYMN5R1XdkAZRvr2Zg,GOLD IV
s5A55RzAGXtgFmnk3h7tU4aM2JOnM_x-MTE4Rw0atfN5w_ZY4HrZJTNXKE6LOx-9UeR2urTXUMGlQg,SILVER II
8QnZOT2zD7n56PXHb1HtYuidsQ2HoH4_iTMey91iWQWCw7DvhV-vV5LLwZU3ADDTqGy7sZ68q22jwQ,SILVER II
hblVa_oEo9q4EPMeCMMpRA_aPMSSLr1qrD-BjDHl9hDOA0wByhKceGBlzXPufIe2s7SQMf29HwtCxA,SILVER I
iJb3u33EjUa721Gbe_9mIa7EWvuxC0M4NbEMwuHxUmDR_8AzqxWfZTsY8ZX_NMFnOkDGd_FO5xmNOg,GOLD IV
Ejpt0CjwS2SuyY8BdaLVozo05odA52cnectp-kzIVc0QyirrUh6Ze1EBONI1Xz-zyG4OAv3icCkUPw,SILVER III
VE4PBVC260Wpa4_kW-U0HJfQsRE4_3P0m_MhOTzaoEd-FrsQYCwSotEV3zu2p-UPT61tow8RiGqiAA,BRONZE I
j1HKuT4Of2XZi0fAsVRcFiCuUvKt3BuSOm-Z9BDI4lv_tM6SVWq70w2YD_GrP5Y98Gh3l1QESmVpPA,SILVER I
iu9wHm_zA673jY9atUF_RCNZftc0BRMT0eko_onikIn2478OL79rcfYYSxgiD-y-Bn3mvyA2W6DqJA,SILVER I
SnNnl1rC0ZM2fhFybHvpDuIoCqt4838bWT_2Df46jK6uALTyXEhcYCLpENoQCAJO3Gxh8JUCYrQwYA,GOLD IV
xpxZWozI5EPqIT8uJ-h_m10lS0kX38yY0F4bYEv64wUUvwuD_ub_arwSyPW0qUKppzxjxajhngeVJA,SILVER I
ti_-NRI-0McHZNyrn2R8vhyeWqNKWtpOQem7qbaco-IsWuAXlAXY77epcm7ZgKciSmSUFNJwtzJmWA,SILVER I
7qSuv9HNKy45X-6E_Snu9epRKV9QJwPFJ53bOuFjmLjebMgLNOsFciD7oYvqClSyySRZ4u4w0avKWw,SILVER II
cieDJQILzQ9xdxJiZApdcPlQTxvPb4EAmxtQo65oY3MDvRwejHI5_eD6xVmnfRpx7wu98mRQ1klXoQ,SILVER I
BFLaS7iKB8pO1qrF6SvdI06Q66E9m7gDvVEB0eAcf4n6twoVctHdYnHOy9_ftWoCfwMi4iFvj-pvSA,GOLD IV
z7jmXd-VqRRpjymvsKzxwf4L1XlgrAsnHTg2SC3LPT0uqkNJrVE3Ypt_WKiaEtiykrpG6aQiH-4XHg,GOLD III
R7TjpbQhG9muvR6b1YXPH0a25Y8ABxEosMQ24M_3JZpHU8DJxRIwJlqThQP2l0jS5lx1DCtPnOVhxw,GOLD IV
jXB9QnbO-S6X0inw5E5l-dr09Lm-s76hwaoe1jamzZCbrBi5weKmWiaFtNXiUw8gcDxbO3pOkjc0jg,SILVER II
rxMwXHATth4keFsOUp0SH8cxi-ESGz0k9IVX9d1S5dFSbJhiVoRyqscOBaIOeAFSwYN3TZYHG9s8sA,SILVER II
txeh-hoJHBEu-tV5VS7IhY-6OUQYetDbkxznkQUv-Dg2pa2-B4-_ur6sbQxJuTPhvAjMVePdj2TDrQ,SILVER III
NYaPJ_X1yURcjmonmbPw1dj-KL6XrcLjvRilUtCxfR4ksJ5D26jL5OjSrpngJI1wEwG0sjijKza29g,SILVER III
iMB7pPwdm3l6iTPPSopEwbKr4hl0geQaX1U5RySRM2kh3q5FJQkpjd42W5U8r2l2FcNuxI_GXYtL0w,GOLD IV
M-OzNkPOlxHva0q1aJTV5E9RrnbBjnU1rjbPQ69kwWmyt86thEiR11cw836U7MtnSaQOnYPu00lQaw,SILVER II
QnBglfAYm7Txi4XgyhA0VzFTmgBvKABK_ArtA2V2818J4UQVpB_jTGgkCBs1ekb-m4SQHVPCCC9NGw,SILVER IV
UyxGt2gWcuFrPRwlwb4w2qKdToZxV_VnRGndpamL2A0xSpRvVgJyM95S8kw9cXgXAEC5a3rXyYYRHw,GOLD IV
TyKXpXhYmq7WY1meU2IcrEP2zbdbSBgzU61uoQerbLcS25H9ipXj3QEQjWdrGRf-h3co-W33-tJUTw,BRONZE II
IHN8H1jI9HLN6kQb9lSnTQsaVJEuRgqXLCiS0FGnTVxSrbXnHeJ5OxLjfq-9o0MGrWaqOnnOO5ZGyA,SILVER III
1aIFulmQPdOIYYAx0MQaoyN7g6OLoVGko7PKT0SdmSiG3VfpjXBQ0iLQTGeWwzVeZHzFJzau-g8HNQ,GOLD IV
VK3QlVEdufT1I8hheg_ipjEEbldtRVNS469sTqoMrByc9ZwkRRDESS5P8w4ZYlSt7qL7ICh7slFklQ,GOLD IV
UeUQ4d_rrYCfCCP8nPppOylo5SM9BlYQPrkzTPOE0BZ3jeu5uYPClbO44DMY_lX-KDCSC0QN7vUMxw,SILVER I
EZ1Tzzuw8eFEypD07sSDmc62TKJB-Fqdm_cSg3-p8zU6mpfyKuILmm95QubK4Ejjv2XCBmPJ3gBdvw,SILVER II
Or9btorTA4CY4ChBOEu4dlN_fuucGw6ZPkzvuqXlPxhFhiFiR5wK7T9AWvznk7kP2rBrFhZBbHFhNg,SILVER I
gHStV4c9NkJMQgbfnCXN7-Cq7nB1WQjhphCRlzBPoKA9btm83mB3xS4vRGaedqZiGuzuBMEE7Lw2dg,GOLD IV
Bss00_hcUxbTnvZHmb-e0sNBeIFg9rWHasjxC8Pc_HMa_WBa9CB7dv38jLEv-pMapRmhrJSjqKEEgA,GOLD IV
Xrfp-mnmgc-B07t6XUDja10gylh0sDrHZviPSWfglotJYTLkaXFWgINJAUhYWzZOk0SqnmJT-3f3zQ,SILVER IV
7p2DM4QT3Hwnlf2z-Y4AidzLPyqDX0ITyvK82PGuHMVqu1OBnadOZpTZnni4DpreLd6o4fsBHTkS2g,SILVER II
fYM7XzeZqEWrMvAf9Z_-239a6wu7AvlF8bfP3b7jTcunHrf7nmfazj94QNGymbkC0X3Agth0RLFPEA,SILVER II
OiBgQre8P9xbiNMQ2oakwMV36H7pmQGbyVutZX3wemxyjuuTTTwKeXuS5_AjgnM9yHQz1UixZEAssA,GOLD III
DevbHCpjmdDo189nTYmhjqt3Ht_L4yeFa2Yc0QoJATEFs7BwZ0NMKBJW_M73lN4YzAvGXF7fEK-PDQ,SILVER II
KNmHnmw0XeOPOa-BfzhvLfzz0hB47S57frr9qDLuALNAIuMobqx5BJZIoUEQKCKSBhim_r1ofWhd_g,GOLD IV
M4gVAz00-Bcv-1N-gjpHdF_A4GcL97Ij9bnuzFaH7psfLHmAGqAnWYYgj6d-Yw_AeGgfDCPuo0goag,SILVER I
byaM8IKwaWtKfF86ZhDS4mKSMRaeH8lH08mkP8L2IFpXqH-KEQ8N_daNyNJKTXf5nxT0oGMAwBZVZw,SILVER I
WhpQe48_fkp9ZUZKvywDEurryc3SpCmPR3UM6hL-3F_GiCoDgviqIMW0A3l2miijtheSrF0ZSJCGCw,SILVER I
XaqYHo1LWqTNHpMU54Xy6rnkEYOLS-KHuoYL3ayCH780Ol987T15C3ofAtkSoBRvoiZDqwu65e3CuQ,GOLD IV
e86k2JDYXl-1Mt2KR--Pqv93f4cor70zEBDjxdXMfcon7QoOCSXP6syXMimtTsP4BZY5HGDBVBZ9eQ,GOLD IV
A-LxwozB7AtNRM-pZHCWIhLsIIJKow__mCzLuIVCDiRAcUebZLLI4o9s3FqZyCVd_v7au20miKEAYg,SILVER I
eGyyNfPaq7xONlqpVxAVRtxagTQVsRUdwTxo00IzZFECHCq3Nz1sndbG2-mOBe8rKuKGtK1ZD7tEIQ,SILVER II
0nAZYA79eTTQIy4JUO8RbTK4pXWNgPC_985jSh6721eCVSYJi_ypHj94-8VJpts4YRkPNmcCDzl0xA,SILVER I
RaoSbQaJgl6uTW2B_g0_8vLS2vqAI3oeU8neGF_Ex1dzq0a1PWLKsjHOJMZ6ihL_10vrYW_kaNt16A,GOLD IV
6GM6cX-ESaqJI9E_CHrMbM_ORMYY9FvLvtVdHhscd_Nknlmg8H356AFvflERNy8JmFZ2-vSUC0DIVA,GOLD IV
kks8Zfct8b_dSifoAY2fAaa-14ALBk4Dyy9p4hltgkoKYHwCY6ydS-8uMOtWyuJqYE-lps1tEpZh_w,SILVER I
1owpQoLlvChza5oRUjiMk5l6E7aWEBqwBTofVqx_zbiUHbBy4CRevMLkfZyYWwrtFtlpxao_kINkwA,SILVER I
fV47BVZpPHF-Xe6EJ5i05CHazpeQAwL9VMXfXoDA-P5_F4SOKXzg-ZTDLLRQVlYU_DpYOW4DQcwXiA,SILVER I
1NzDlzfxQNxchyI-mubQVClb3daUC6-pKf63Xvqy6Y8uV9DSofNXAzdGZX8vRB4c1Vl7q20b40hDvg,GOLD II
l9qHQQdb2F62qK33ZAa-78Q7tpqoygy4pwalj-dyf6RNWQP9Vpf7OijIGP42toewbW8EYOSYDk-PnQ,GOLD IV
6AcORIzF0nmUbABGpdvS9d9TQirLjWKjEjz0tFmAmED6muTWRbKDw-80wO5qUebcN5_5g0r6riHLRQ,SILVER IV
xximRjslznm_cc3WAf4Y_8KR9PZ2HHQ3laLuZ-FD3jUl1KacO02tCadY1a_vxKoSj4NB5Ybd2S-XnQ,GOLD IV
suPrdBvV3O5xtsbuvlOxN8NvXrphSxzY499OIKLLd9KervF6NJOTiT9tRa8SFx37C2EX89n55tN0_g,SILVER II
0zPVm4qN2PKuPFQ1mF_goqJya4WoRl0kPLn_ZSDgsS6Kd5OOUaRYF-Gh_vYmXpG3LUkyfDoyrv4qOg,GOLD II
p8vjvarhlNuLcyVVxkxMbymZr8GEE8QW6P_yz8_T0U6fPt0DSaRUXbZBRe-To1EjDrEWKfd0bu4nHQ,SILVER II
L2C803V7cDzfZlsB7ldVaphMLCau1p5eNqu5z-KBDjLc5eLy4m1OUy02s4z_cV3zDK4uBCMjdnVySQ,SILVER I
GGRXdMznPAnfsLcTE9DWTZ1rzr6uCbsAaCoaqjJCP5UVDIVtJKAWW7yshGA08ZQuUWu14gjMlefR-w,SILVER I
tyQHpo-j8Hn-nTDqIqtW60vyHmr8bwerBiu5s8CZSAJ301mTveu1qbN_YxPG8yWdtAoc8AZYRvmZvQ,GOLD IV
ND-CvveqYf2PTqW-oJo0ZS_1UKLuOV0UsN6zOQHMUVqbgggayOYP_b2ZBMexmX0iaX2f-qVhUVyKfQ,GOLD III
2Z73f1dznxUWycUA7VMBlWtF6Mgb0tNvdEAboPbyeWo21saE3vxMdZzZQ8QX0UqcGRWPgmid6y57Mw,SILVER I
-2aO_Tz0BidY1cOIWemSMbzOMWu7bPDql8T7hDDNsVMt3NM26piMM31k2bfwMbF-weW5fTtfSzu8KQ,SILVER I
DUsQXd1FsavTy6PzF3lg33PdoXq8yOgOCi8hfl6EjvR7tMAntKas_X_NsheOkygzSC1HD_xjWi5iUA,GOLD IV
zy7KFcIOy27KDC2kYfm1Huqh9TwVlaFswtqnm3PJY2ljz69OvyxVTj6gyTq1gn4i8fmYttmeJyDkQA,GOLD IV
MqPux2oD5mh46_G3J9X0BagBfqb_1nvu1_Lu35yZDDu0vTkhgXBpw6CsXwKBEf_9V6uBcRS1vjJUfQ,GOLD IV
wc66639JxoZ-B2Gx_f8lEDPQ8GcOOdajLmuEOr6Jhh8tYFQF6ucXPvUmulVbeBnup5MB_noqqvjbUw,SILVER II
hnWTzBnheK4lApq7au6x-_Krh6GhIVXXlWCwkizVWxMm9TdmDz5aVCJeUUGxsFrt3UT-Cl-1XcsydA,GOLD IV
qMchGc6vdwGmieHu5yZrnuIqbznCb5uBfLz4YH8jB4W8lG275EPwUyR9kLFexi7PPz4isNKkpLpCjg,GOLD IV
OkcH3nqwrxeJc9QUuQcRxYo4q7h1nbuQR4Q_jN1R-W1wMyiVO89WzHtslCMnXy5HzsC1bbPvaXimvw,GOLD IV
gqYIXZcwDcM_IHj--T8M9P_JdSeP--kdT5nX4Zkksc2OV9gkt7l5Jk5zqKxK2vTwarChswHe1XrGHQ,GOLD IV
AZpFgJB5nDHbmap0nGYBnjKajXuJXigunfoPgPWtEQW-P7SoUZee_xBXCBP8FlAc1JCdTJaDbkLwEA,GOLD IV
d4EexgqS6j9JlAneDgeJVmz4lOkserYptKCFIS0eamSPmqqseJNJ5y8lfvj6m9gbXJvrCjyBXN4Sbg,SILVER III
E-NaByqvP7YFTGi0_8heOF_Zpo7lIDlVu1T8opTQ7Fug64KGJ-u1CQH-shzQmr4ZM87PdSCYYEqGrQ,GOLD IV
